Date,Open,High,Low,Close,Adjusted,Volume,Dividend amount
31-08-2021,286.36,305.84,283.74,301.88,293.695,440360333,0.56
,,,,,,,
30-07-2021,269.61,290.15,269.6,284.91,276.6522,522303043,0
,,,,,,,
30-06-2021,251.23,271.65,243,270.9,263.0483,508388858,0
,,,,,,,
28-05-2021,253.4,254.35,238.07,249.68,242.4433,495089530,0.56
,,,,,,,
30-04-2021,238.47,263.19,238.0501,252.18,244.3081,568698272,0
,,,,,,,
31-03-2021,235.9,241.05,224.26,235.77,228.4104,724981506,0
,,,,,,,
26-02-2021,235.06,246.13,227.88,232.38,225.1262,489396912,0.56
,,,,,,,
29-01-2021,222.53,242.64,211.94,231.96,224.2052,647897096,0
,,,,,,,
31-12-2020,214.51,227.18,209.11,222.42,214.9841,593966967,0
,,,,,,,
30-11-2020,204.29,228.12,200.12,214.07,206.9133,573325190,0.56
,,,,,,,
30-10-2020,213.49,225.21,199.62,202.47,195.1832,631674298,0
,,,,,,,
30-09-2020,225.51,232.86,196.25,210.33,202.7604,768528897,0
,,,,,,,
31-08-2020,211.52,231.15,203.14,225.53,217.4133,692382980,0.51
,,,,,,,
31-07-2020,203.14,216.38,197.51,205.01,197.1523,769842002,0
,,,,,,,
30-06-2020,182.54,204.4,181.35,203.51,195.7098,765012029,0
,,,,,,,
29-05-2020,175.8,187.51,173.8,183.25,176.2264,688873081,0.51
,,,,,,,
30-04-2020,153,180.4,150.36,179.21,171.8691,984810925,0
,,,,,,,
31-03-2020,165.31,175,132.52,157.71,151.2498,1612954386,0
,,,,,,,
28-02-2020,170.43,190.7,152,162.01,155.3736,887894931,0.51
,,,,,,,
31-01-2020,158.78,174.05,156.51,170.23,162.8136,555989763,0
,,,,,,,
31-12-2019,151.81,159.55,146.65,157.7,150.8295,452664147,0
,,,,,,,
29-11-2019,144.26,152.5,142.97,151.38,144.7848,393028043,0.51
,,,,,,,
31-10-2019,139.66,145.67,133.22,143.37,136.658,560654410,0
,,,,,,,
30-09-2019,136.61,142.37,134.51,139.03,132.5211,477645820,0
,,,,,,,
30-08-2019,137,140.94,130.78,137.86,131.4059,585509525,0.46
,,,,,,,
31-07-2019,136.63,141.68,134.67,136.27,129.4459,484553299,0
,,,,,,,
28-06-2019,123.85,138.4,119.01,133.96,127.2516,508324437,0
,,,,,,,
31-05-2019,130.53,130.65,123.04,123.68,117.4864,547218448,0.46
,,,,,,,
30-04-2019,118.95,131.37,118.1,130.6,123.6087,433157868,0
,,,,,,,
29-03-2019,112.89,120.82,108.8,117.94,111.6264,589045341,0
,,,,,,,
